<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US1.AMD,D,01/09/21,00:00:00,109.9800000
US1.AMD,D,02/09/21,00:00:00,109.1800000
US1.AMD,D,03/09/21,00:00:00,109.9100000
US1.AMD,D,07/09/21,00:00:00,109.0500000
US1.AMD,D,08/09/21,00:00:00,106.1700000
US1.AMD,D,09/09/21,00:00:00,106.1000000
US1.AMD,D,10/09/21,00:00:00,105.2200000
US1.AMD,D,13/09/21,00:00:00,104.8000000
US1.AMD,D,14/09/21,00:00:00,105.7200000
US1.AMD,D,15/09/21,00:00:00,105.6000000
US1.AMD,D,16/09/21,00:00:00,106.2300000
US1.AMD,D,17/09/21,00:00:00,103.8800000
US1.AMD,D,20/09/21,00:00:00,101.5700000
US1.AMD,D,21/09/21,00:00:00,102.8100000
US1.AMD,D,22/09/21,00:00:00,104.3900000
US1.AMD,D,23/09/21,00:00:00,106.1600000
US1.AMD,D,24/09/21,00:00:00,105.8000000
US1.AMD,D,27/09/21,00:00:00,108.1700000
US1.AMD,D,28/09/21,00:00:00,101.5200000
US1.AMD,D,29/09/21,00:00:00,100.3400000
US1.AMD,D,30/09/21,00:00:00,102.8800000
US1.AMD,D,01/10/21,00:00:00,102.4300000
