<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
US1.INTC,D,01/09/21,00:00:00,53.6900000
US1.INTC,D,02/09/21,00:00:00,53.7400000
US1.INTC,D,03/09/21,00:00:00,53.5100000
US1.INTC,D,07/09/21,00:00:00,53.6400000
US1.INTC,D,08/09/21,00:00:00,53.5900000
US1.INTC,D,09/09/21,00:00:00,53.4000000
US1.INTC,D,10/09/21,00:00:00,53.8600000
US1.INTC,D,13/09/21,00:00:00,55.0100000
US1.INTC,D,14/09/21,00:00:00,54.5500000
US1.INTC,D,15/09/21,00:00:00,55.1400000
US1.INTC,D,16/09/21,00:00:00,54.8300000
US1.INTC,D,17/09/21,00:00:00,54.2700000
US1.INTC,D,20/09/21,00:00:00,52.9800000
US1.INTC,D,21/09/21,00:00:00,52.8700000
US1.INTC,D,22/09/21,00:00:00,53.5000000
US1.INTC,D,23/09/21,00:00:00,54.0400000
US1.INTC,D,24/09/21,00:00:00,54.2300000
US1.INTC,D,27/09/21,00:00:00,54.6700000
US1.INTC,D,28/09/21,00:00:00,54.0100000
US1.INTC,D,29/09/21,00:00:00,53.4900000
US1.INTC,D,30/09/21,00:00:00,53.2800000
US1.INTC,D,01/10/21,00:00:00,53.8500000
